Year,Ice Extent (km2)
1880,27254250.0625
1881,27225739.0125
1882,27260193.255
1883,27025825.521666665
1884,27355180.110833332
1885,27401814.034166664
1886,26896542.232499998
1887,27194957.595
1888,27072676.258333337
1889,27064408.04666667
1890,27375097.066666663
1891,27059490.713333335
1892,26821806.4525
1893,27503460.61
1894,26904840.183333334
1895,27260292.387500003
1896,26835854.94333333
1897,26630753.423333336
1898,26316625.968333337
1899,26311891.0725
1900,26530042.235
1901,27104603.98416667
1902,26895028.325833336
1903,26571043.0925
1904,26395576.375833333
1905,26411335.9675
1906,26802990.425
1907,26729549.507499997
1908,26644812.219166666
1909,27135626.326666664
1910,27007580.293333333
1911,27041678.780833334
1912,27322015.155
1913,27219894.575833336
1914,27134367.551666666
1915,26455345.32166666
1916,27055182.390833337
1917,27306123.532500003
1918,27281644.81416666
1919,26511448.579166666
1920,26763107.061666667
1921,26886256.784999996
1922,26615127.398333337
1923,26820457.209999997
1924,26502030.459166665
1925,26280476.18166667
1926,26655874.644999996
1927,26763429.37166666
1928,26644764.08
1929,26992182.37833334
1930,26093643.11333333
1931,26197063.355
1932,26650682.43166667
1933,26106122.075833336
1934,26843040.814999998
1935,26303657.070833337
1936,26551143.38833333
1937,26119239.201666664
1938,26341996.136666667
1939,26622277.83083333
1940,25711220.599166665
1941,25884922.891666666
1942,26091613.629166674
1943,25321237.038333338
1944,25480994.32166666
1945,24925123.7825
1946,26738875.00333333
1947,25943952.70833333
1948,26745596.782500003
1949,27303289.8625
1950,26709909.173333332
1951,26804294.778333336
1952,26461308.790833335
1953,26586588.707499996
1954,26751383.3225
1955,26732154.15416667
1956,27491864.7
1957,26824323.170833334
1958,26972251.394166674
1959,26739578.453333337
1960,25987442.442500006
1961,26341324.90416667
1962,26734321.12166667
1963,27767935.44583333
1964,27131139.168333333
1965,26865720.26333334
1966,27313635.228333328
1967,26536380.76
1968,26932569.645833332
1969,27468015.07583333
1970,26895221.72
1971,26717750.511666667
1972,26885699.000833333
1973,26099491.7225
1974,25866686.974166665
1975,26158615.245
1976,26467521.294999998
1977,26157314.524166662
1978,26297916.357499998
1979,25766998.435833335
1980,25953599.519166663
1981,25543336.650833335
1982,26257198.88166667
1983,25941791.183333326
1984,25199986.454166666
1985,25269307.6675
1986,25696298.885
1987,25571685.200833336
1988,25632121.809166666
1989,25027826.19666666
1990,24644684.421666667
1991,24604796.840833336
1992,25157766.430833336
1993,24729748.254166666
1994,25013791.140833333
1995,23651440.959166665
1996,24540672.57083333
1997,24318736.588333335
1998,24368949.752499998
1999,24487155.609166667
2000,23871529.401666667
2001,24158224.99666667
2002,23764381.9875
2003,23746678.748333335
2004,23466243.389166668
2005,22815504.325000003
2006,22564828.03
2007,21811032.692500003
2008,22928045.05583333
2009,22973364.985833336
2010,22559206.34166667
2011,21985825.605000004
2012,21700894.813333336
2013,22711663.42416667
2014,22545153.925
2015,22245529.616666663
2016,21314735.8825
2017,21679484.909999993
2018,4790000.0
2019,4320000.0
